,id,subsector,nivel,eje,n°,desccorta,desclarga
0,1,Matemáticas,1,Números y operaciones,1,"Contar a intervalos, adelante para atrás hasta 100","Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10, hacia adelante y hacia atrás, empezando por cualquier número menor que 100."
1,2,Matemáticas,1,Números y operaciones,2,Identificar nºs ordinales de una serie hasta el décimo,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º)."
2,3,Matemáticas,1,Números y operaciones,3,Leer y representar numerales del 0-20,"Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica."
3,4,Matemáticas,1,Números y operaciones,4,Comparar y ordenar números 0-20,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo."
4,5,Matemáticas,1,Números y operaciones,5,"Estimar cantidades 0 – 20, en diversas situaciones","Estimar cantidades hasta 20 en situaciones concretas, usando un referente."
5,6,Matemáticas,1,Números y operaciones,6,Componer y descomponer números del 0-20,"Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólica."
6,7,Matemáticas,1,Números y operaciones,7,Aplicación de cálculo mental en + y -  del 0-20,Describir y aplicar estrategias1 de cálculo mental para las adiciones y las sustracciones hasta 20:conteo hacia adelante y atrás;completar 10;dobles.
7,8,Matemáticas,1,Números y operaciones,8,"Determinar U y D de nºs  del 0-20, agrupando de 10","Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pictórica y simbólica."
8,9,Matemáticas,1,Números y operaciones,9,"Comprender + y - hasta 20, con 2 sumandos","Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente, de 0 a 5, de 6 a 10, de 11 a 20 con dos sumandos:usando un lenguaje cotidiano para describir acciones desde su propia experiencia; representando adiciones y sustracciones con material concreto y pictórico, de manera manual y/o usando software educativo; representando el proceso en forma simbólica; resolviendo problemas en contextos familiares; creando problemas matemáticos y resolviéndolos."
9,10,Matemáticas,1,Números y operaciones,10,Demostrar que la + y la son operaciones inversas,"Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y simbólica."
